L1,L2,m1,m2,dd1,st,pr
8.100000e-01,8.100000e-01,5,320,5.461058e-02,1.920000e+00,2.844301e-02
8.100000e-01,8.100000e-01,5,325,5.357218e-02,1.910000e+00,2.804826e-02
8.100000e-01,8.100000e-01,5,330,5.385403e-02,1.910000e+00,2.819583e-02
8.100000e-01,8.100000e-01,5,335,5.324050e-02,2,2.662025e-02
8.100000e-01,8.100000e-01,5,340,5.364574e-02,2.000000e+00,2.682287e-02
8.100000e-01,8.100000e-01,5,345,5.437796e-02,1.990000e+00,2.732561e-02
8.100000e-01,8.100000e-01,5,350,5.363895e-02,1.980000e+00,2.709038e-02
8.100000e-01,8.100000e-01,5,355,5.262748e-02,1.970000e+00,2.671446e-02
8.100000e-01,8.100000e-01,5,360,5.305138e-02,1.840000e+00,2.883227e-02
8.100000e-01,8.100000e-01,5,365,5.263212e-02,1.930000e+00,2.727053e-02
8.100000e-01,8.100000e-01,5,370,5.432883e-02,1.930000e+00,2.814965e-02
8.100000e-01,8.100000e-01,5,375,5.458083e-02,1.930000e+00,2.828022e-02
8.100000e-01,8.100000e-01,5,380,5.449375e-02,1.920000e+00,2.838216e-02
8.100000e-01,8.100000e-01,5,385,5.400857e-02,2.020000e+00,2.673691e-02
8.100000e-01,8.100000e-01,5,390,5.402669e-02,2.000000e+00,2.701335e-02
8.100000e-01,8.100000e-01,5,395,5.443095e-02,2.000000e+00,2.721547e-02
8.100000e-01,8.100000e-01,5,400,5.418542e-02,1.990000e+00,2.722885e-02
8.100000e-01,8.100000e-01,5,405,5.455106e-02,1.880000e+00,2.901652e-02
8.100000e-01,8.100000e-01,5,410,5.286484e-02,1.960000e+00,2.697186e-02
8.100000e-01,8.100000e-01,5,415,5.449450e-02,1.950000e+00,2.794590e-02
8.100000e-01,8.100000e-01,5,420,5.503119e-02,1.950000e+00,2.822112e-02
8.100000e-01,8.100000e-01,5,425,5.644148e-02,1.940000e+00,2.909355e-02
8.100000e-01,8.100000e-01,5,430,5.684371e-02,1.930000e+00,2.945270e-02
8.100000e-01,8.100000e-01,5,435,5.628352e-02,2.040000e+00,2.758996e-02
8.100000e-01,8.100000e-01,5,440,5.584656e-02,2.030000e+00,2.751062e-02
8.100000e-01,8.100000e-01,5,445,5.538780e-02,2.020000e+00,2.741970e-02
8.100000e-01,8.100000e-01,5,450,5.631089e-02,2.020000e+00,2.787668e-02
8.100000e-01,8.100000e-01,5,455,5.521374e-02,1.890000e+00,2.921362e-02
8.100000e-01,8.100000e-01,5,460,5.602614e-02,1.890000e+00,2.964346e-02
8.100000e-01,8.100000e-01,5,465,5.541409e-02,1.980000e+00,2.798691e-02
8.100000e-01,8.100000e-01,5,470,5.555389e-02,1.970000e+00,2.819994e-02
8.100000e-01,8.100000e-01,5,475,5.583445e-02,1.960000e+00,2.848697e-02
8.100000e-01,8.100000e-01,5,480,5.495928e-02,1.950000e+00,2.818425e-02
8.100000e-01,8.100000e-01,5,485,5.629329e-02,1.960000e+00,2.872107e-02
8.100000e-01,8.100000e-01,5,490,5.667463e-02,1.950000e+00,2.906391e-02
8.100000e-01,8.100000e-01,5,495,5.505960e-02,2.040000e+00,2.699000e-02
8.100000e-01,8.100000e-01,5,500,5.546372e-02,2.030000e+00,2.732203e-02
1.620000e+00,8.100000e-01,5,5,8.978420e-02,2.240000e+00,4.008223e-02
1.620000e+00,8.100000e-01,5,10,7.275449e-02,2.130000e+00,3.415704e-02
1.620000e+00,8.100000e-01,5,15,1.019737e-01,2.160000e+00,4.721007e-02
1.620000e+00,8.100000e-01,5,20,9.448547e-02,2.270000e+00,4.162356e-02
