L1,L2,m1,m2,dd1,st,pr,rms
8.100000e-01,8.100000e-01,5,270,2.803450e-01,2.441000e+00,2.803450e-01,2.721166e-02
8.100000e-01,8.100000e-01,5,275,2.763394e-01,2.543000e+00,2.763394e-01,2.727678e-02
8.100000e-01,8.100000e-01,5,280,2.724969e-01,2.534000e+00,2.724969e-01,2.729764e-02
8.100000e-01,8.100000e-01,5,285,2.568085e-01,2.520000e+00,2.568085e-01,2.740038e-02
8.100000e-01,8.100000e-01,5,290,2.757702e-01,2.365000e+00,2.757702e-01,2.723022e-02
8.100000e-01,8.100000e-01,5,295,2.863216e-01,2.463000e+00,2.863216e-01,2.751168e-02
8.100000e-01,8.100000e-01,5,300,2.777972e-01,2.462000e+00,2.777972e-01,2.737792e-02
8.100000e-01,8.100000e-01,5,305,2.710043e-01,2.454000e+00,2.710043e-01,2.764781e-02
8.100000e-01,8.100000e-01,5,310,2.724859e-01,2.443000e+00,2.724859e-01,2.798143e-02
8.100000e-01,8.100000e-01,5,315,2.833304e-01,2.431000e+00,2.833304e-01,2.768497e-02
8.100000e-01,8.100000e-01,5,320,2.834560e-01,2.519000e+00,2.834560e-01,2.734249e-02
8.100000e-01,8.100000e-01,5,325,2.717262e-01,2.514000e+00,2.717262e-01,2.702262e-02
8.100000e-01,8.100000e-01,5,330,2.678500e-01,2.509000e+00,2.678500e-01,2.737696e-02
8.100000e-01,8.100000e-01,5,335,2.673393e-01,2.371000e+00,2.673393e-01,2.763869e-02
8.100000e-01,8.100000e-01,5,340,2.748744e-01,2.455000e+00,2.748744e-01,2.742382e-02
8.100000e-01,8.100000e-01,5,345,2.773984e-01,2.447000e+00,2.773984e-01,2.722810e-02
8.100000e-01,8.100000e-01,5,350,2.777438e-01,2.440000e+00,2.777438e-01,2.758025e-02
8.100000e-01,8.100000e-01,5,355,2.772872e-01,2.436000e+00,2.772872e-01,2.764474e-02
8.100000e-01,8.100000e-01,5,360,2.808055e-01,2.525000e+00,2.808055e-01,2.747724e-02
8.100000e-01,8.100000e-01,5,365,2.750988e-01,2.519000e+00,2.750988e-01,2.735239e-02
8.100000e-01,8.100000e-01,5,370,2.696711e-01,2.511000e+00,2.696711e-01,2.764238e-02
8.100000e-01,8.100000e-01,5,375,2.666720e-01,2.504000e+00,2.666720e-01,2.750764e-02
8.100000e-01,8.100000e-01,5,380,2.714901e-01,2.368000e+00,2.714901e-01,2.733795e-02
8.100000e-01,8.100000e-01,5,385,2.696250e-01,2.452000e+00,2.696250e-01,2.772352e-02
8.100000e-01,8.100000e-01,5,390,2.822432e-01,2.445000e+00,2.822432e-01,2.756976e-02
8.100000e-01,8.100000e-01,5,395,2.767354e-01,2.437000e+00,2.767354e-01,2.749869e-02
8.100000e-01,8.100000e-01,5,400,2.741882e-01,2.431000e+00,2.741882e-01,2.733264e-02
8.100000e-01,8.100000e-01,5,405,2.820442e-01,2.427000e+00,2.820442e-01,2.740632e-02
8.100000e-01,8.100000e-01,5,410,2.783358e-01,2.516000e+00,2.783358e-01,2.798724e-02
8.100000e-01,8.100000e-01,5,415,2.787466e-01,2.508000e+00,2.787466e-01,2.817013e-02
8.100000e-01,8.100000e-01,5,420,2.863112e-01,2.498000e+00,2.863112e-01,2.779578e-02
8.100000e-01,8.100000e-01,5,425,2.771468e-01,2.489000e+00,2.771468e-01,2.759175e-02
8.100000e-01,8.100000e-01,5,430,2.816137e-01,2.462000e+00,2.816137e-01,2.772206e-02
8.100000e-01,8.100000e-01,5,435,2.793670e-01,2.456000e+00,2.793670e-01,2.796563e-02
8.100000e-01,8.100000e-01,5,440,2.820196e-01,2.449000e+00,2.820196e-01,2.791714e-02
8.100000e-01,8.100000e-01,5,445,2.840039e-01,2.440000e+00,2.840039e-01,2.773427e-02
8.100000e-01,8.100000e-01,5,450,2.835169e-01,2.431000e+00,2.835169e-01,2.765334e-02
8.100000e-01,8.100000e-01,5,455,2.840368e-01,2.513000e+00,2.840368e-01,2.783015e-02
8.100000e-01,8.100000e-01,5,460,2.831191e-01,2.510000e+00,2.831191e-01,2.779018e-02
8.100000e-01,8.100000e-01,5,465,2.790630e-01,2.505000e+00,2.790630e-01,2.784697e-02
8.100000e-01,8.100000e-01,5,470,2.797253e-01,2.500000e+00,2.797253e-01,2.788607e-02
8.100000e-01,8.100000e-01,5,475,2.834087e-01,2.488000e+00,2.834087e-01,2.780746e-02
8.100000e-01,8.100000e-01,5,480,2.835340e-01,2.480000e+00,2.835340e-01,2.797261e-02
8.100000e-01,8.100000e-01,5,485,2.802650e-01,2.447000e+00,2.802650e-01,2.783450e-02
8.100000e-01,8.100000e-01,5,490,2.828994e-01,2.444000e+00,2.828994e-01,2.770369e-02
8.100000e-01,8.100000e-01,5,495,2.856131e-01,2.442000e+00,2.856131e-01,2.777767e-02
8.100000e-01,8.100000e-01,5,500,2.909607e-01,2.438000e+00,2.909607e-01,2.799745e-02
1.620000e+00,8.100000e-01,5,5,1.951436e-01,2.981000e+00,1.951436e-01,4.101720e-02
1.620000e+00,8.100000e-01,5,10,1.681010e-01,2.868000e+00,1.681010e-01,4.260059e-02
1.620000e+00,8.100000e-01,5,15,2.850380e-01,2.677000e+00,2.850380e-01,4.151359e-02
1.620000e+00,8.100000e-01,5,20,3.104591e-01,2.546000e+00,3.104591e-01,4.149395e-02
1.620000e+00,8.100000e-01,5,25,2.568574e-01,2.950000e+00,2.568574e-01,4.527213e-02
1.620000e+00,8.100000e-01,5,30,2.638131e-01,2.861000e+00,2.638131e-01,4.502354e-02
1.620000e+00,8.100000e-01,5,35,2.500936e-01,2.847000e+00,2.500936e-01,4.608301e-02
1.620000e+00,8.100000e-01,5,40,3.184849e-01,2.609000e+00,3.184849e-01,4.217101e-02
1.620000e+00,8.100000e-01,5,45,2.952522e-01,2.860000e+00,2.952522e-01,4.334968e-02
1.620000e+00,8.100000e-01,5,50,2.836762e-01,2.827000e+00,2.836762e-01,4.392281e-02
1.620000e+00,8.100000e-01,5,55,3.010472e-01,2.988000e+00,3.010472e-01,4.458168e-02
1.620000e+00,8.100000e-01,5,60,2.953645e-01,2.908000e+00,2.953645e-01,4.465965e-02
1.620000e+00,8.100000e-01,5,65,2.839077e-01,3.079000e+00,2.839077e-01,4.438232e-02
1.620000e+00,8.100000e-01,5,70,3.142674e-01,2.435000e+00,3.142674e-01,4.232653e-02
1.620000e+00,8.100000e-01,5,75,2.961638e-01,2.672000e+00,2.961638e-01,4.225179e-02
1.620000e+00,8.100000e-01,5,80,3.122150e-01,2.881000e+00,3.122150e-01,4.308407e-02
1.620000e+00,8.100000e-01,5,85,2.982633e-01,3.091000e+00,2.982633e-01,4.323006e-02
1.620000e+00,8.100000e-01,5,90,2.820972e-01,2.776000e+00,2.820972e-01,4.321383e-02
1.620000e+00,8.100000e-01,5,95,2.898987e-01,2.710000e+00,2.898987e-01,4.405226e-02
1.620000e+00,8.100000e-01,5,100,3.078401e-01,2.905000e+00,3.078401e-01,4.418999e-02
1.620000e+00,8.100000e-01,5,105,3.232549e-01,2.863000e+00,3.232549e-01,4.440181e-02
1.620000e+00,8.100000e-01,5,110,3.088833e-01,3.049000e+00,3.088833e-01,4.555903e-02
1.620000e+00,8.100000e-01,5,115,2.869403e-01,2.768000e+00,2.869403e-01,4.592123e-02
1.620000e+00,8.100000e-01,5,120,3.147411e-01,2.709000e+00,3.147411e-01,4.384485e-02
1.620000e+00,8.100000e-01,5,125,3.139174e-01,2.909000e+00,3.139174e-01,4.384173e-02
1.620000e+00,8.100000e-01,5,130,3.027777e-01,2.862000e+00,3.027777e-01,4.471859e-02
1.620000e+00,8.100000e-01,5,135,3.054358e-01,2.814000e+00,3.054358e-01,4.439020e-02
1.620000e+00,8.100000e-01,5,140,2.878185e-01,3.001000e+00,2.878185e-01,4.410426e-02
1.620000e+00,8.100000e-01,5,145,3.000455e-01,2.741000e+00,3.000455e-01,4.440437e-02
1.620000e+00,8.100000e-01,5,150,3.155637e-01,2.701000e+00,3.155637e-01,4.446256e-02
1.620000e+00,8.100000e-01,5,155,2.973061e-01,2.892000e+00,2.973061e-01,4.379370e-02
1.620000e+00,8.100000e-01,5,160,2.932493e-01,2.846000e+00,2.932493e-01,4.490935e-02
1.620000e+00,8.100000e-01,5,165,3.030713e-01,3.008000e+00,3.030713e-01,4.433839e-02
1.620000e+00,8.100000e-01,5,170,2.879228e-01,2.779000e+00,2.879228e-01,4.379647e-02
