t1,d1,v1,d2,v2,u,u_max
0,1.870993e+00,0,2.153736e+00,0,0,1.152775e+01
1.000000e-02,1.870822e+00,-3.421325e-02,2.153565e+00,-3.423934e-02,0,1.147404e+01
2.000000e-02,1.870309e+00,-6.828961e-02,2.153052e+00,-6.847060e-02,0,1.141844e+01
3.000000e-02,1.869457e+00,-1.021172e-01,2.152196e+00,-1.026936e-01,0,1.136114e+01
4.000000e-02,1.868268e+00,-1.355904e-01,2.150998e+00,-1.369077e-01,0,1.130230e+01
5.000000e-02,1.866747e+00,-1.686125e-01,2.149458e+00,-1.711120e-01,0,1.124211e+01
6.000000e-02,1.864898e+00,-2.010980e-01,2.147575e+00,-2.053050e-01,0,1.118073e+01
7.000000e-02,1.862727e+00,-2.329745e-01,2.145352e+00,-2.394846e-01,0,1.111830e+01
8.000000e-02,1.860240e+00,-2.641846e-01,2.142786e+00,-2.736478e-01,0,1.105495e+01
9.000000e-02,1.857445e+00,-2.946874e-01,2.139879e+00,-3.077911e-01,0,1.099079e+01
1.000000e-01,1.854349e+00,-3.244586e-01,2.136630e+00,-3.419098e-01,0,1.092590e+01
1.100000e-01,1.850959e+00,-3.534919e-01,2.133041e+00,-3.759987e-01,0,1.086033e+01
1.200000e-01,1.847282e+00,-3.817982e-01,2.129110e+00,-4.100515e-01,0,1.079411e+01
1.300000e-01,1.843325e+00,-4.094059e-01,2.124840e+00,-4.440612e-01,0,1.072725e+01
1.400000e-01,1.839096e+00,-4.363593e-01,2.120229e+00,-4.780199e-01,0,1.065972e+01
1.500000e-01,1.834600e+00,-4.627175e-01,2.115279e+00,-5.119192e-01,0,1.059145e+01
1.600000e-01,1.829843e+00,-4.885530e-01,2.109991e+00,-5.457498e-01,0,1.052239e+01
1.700000e-01,1.824830e+00,-5.139493e-01,2.104365e+00,-5.795020e-01,0,1.045242e+01
1.800000e-01,1.819565e+00,-5.389991e-01,2.098401e+00,-6.131657e-01,0,1.038143e+01
1.900000e-01,1.814051e+00,-5.638009e-01,2.092102e+00,-6.467305e-01,0,1.030929e+01
2.000000e-01,1.808290e+00,-5.884574e-01,2.085467e+00,-6.801857e-01,0,1.023585e+01
2.100000e-01,1.802282e+00,-6.130719e-01,2.078498e+00,-7.135208e-01,0,1.016096e+01
