t1,d1,v1,d2,v2,u,u_max
0,1.403245e+00,0,1.615302e+00,0
0,8.889184e+00,1.000000e-02,1.403116e+00,-2.565994e-02,1.615174e+00,-2.567951e-02
0,8.848481e+00,2.000000e-02,1.402732e+00,-5.121721e-02,1.614789e+00,-5.135295e-02
0,8.806315e+00,3.000000e-02,1.402093e+00,-7.658790e-02,1.614147e+00,-7.702016e-02
0,8.762825e+00,4.000000e-02,1.401201e+00,-1.016928e-01,1.613248e+00,-1.026808e-01
0,8.718150e+00,5.000000e-02,1.400060e+00,-1.264594e-01,1.612093e+00,-1.283340e-01
0,8.672420e+00,6.000000e-02,1.398673e+00,-1.508235e-01,1.610682e+00,-1.539788e-01
0,8.625760e+00,7.000000e-02,1.397045e+00,-1.747308e-01,1.609014e+00,-1.796134e-01
0,8.578281e+00,8.000000e-02,1.395180e+00,-1.981385e-01,1.607089e+00,-2.052359e-01
0,8.530079e+00,9.000000e-02,1.393084e+00,-2.210155e-01,1.604909e+00,-2.308433e-01
0,8.481236e+00,1.000000e-01,1.390762e+00,-2.433439e-01,1.602473e+00,-2.564323e-01
0,8.431815e+00,1.100000e-01,1.388219e+00,-2.651189e-01,1.599780e+00,-2.819990e-01
0,8.381856e+00,1.200000e-01,1.385461e+00,-2.863487e-01,1.596833e+00,-3.075386e-01
0,8.331384e+00,1.300000e-01,1.382494e+00,-3.070545e-01,1.593630e+00,-3.330459e-01
0,8.280397e+00,1.400000e-01,1.379322e+00,-3.272694e-01,1.590172e+00,-3.585149e-01
0,8.228878e+00,1.500000e-01,1.375950e+00,-3.470381e-01,1.586460e+00,-3.839394e-01
0,8.176786e+00,1.600000e-01,1.372382e+00,-3.664147e-01,1.582493e+00,-4.093123e-01
0,8.124065e+00,1.700000e-01,1.368623e+00,-3.854620e-01,1.578274e+00,-4.346265e-01
0,8.070638e+00,1.800000e-01,1.364674e+00,-4.042493e-01,1.573801e+00,-4.598743e-01
0,8.016418e+00,1.900000e-01,1.360538e+00,-4.228507e-01,1.569076e+00,-4.850479e-01
0,7.961303e+00,2.000000e-01,1.356217e+00,-4.413430e-01,1.564100e+00,-5.101393e-01
0,7.905183e+00,2.100000e-01,1.351711e+00,-4.598039e-01,1.558874e+00,-5.351406e-01
0,7.847942e+00,2.200000e-01,1.347021e+00,-4.783094e-01,1.553398e+00,-5.600440e-01
0,7.789461e+00,2.300000e-01,1.342145e+00,-4.969323e-01,1.547673e+00,-5.848416e-01
0,7.729622e+00,2.400000e-01,1.337082e+00,-5.157398e-01,1.541701e+00,-6.095262e-01
0,7.668310e+00,2.500000e-01,1.331829e+00,-5.347923e-01,1.535483e+00,-6.340907e-01
0,7.605420e+00,2.600000e-01,1.326385e+00,-5.541409e-01,1.529020e+00,-6.585284e-01
0,7.540852e+00,2.700000e-01,1.320745e+00,-5.738270e-01,1.522313e+00,-6.828334e-01
0,7.474524e+00,2.800000e-01,1.314907e+00,-5.938804e-01,1.515364e+00,-7.070001e-01
0,7.406366e+00,2.900000e-01,1.308866e+00,-6.143192e-01,1.508174e+00,-7.310237e-01
0,7.336327e+00,3.000000e-01,1.302619e+00,-6.351483e-01,1.500744e+00,-7.549000e-01
0,7.264373e+00,3.100000e-01,1.296162e+00,-6.563605e-01,1.493076e+00,-7.786252e-01
0,7.190493e+00,3.200000e-01,1.289491e+00,-6.779355e-01,1.485172e+00,-8.021966e-01
0,7.114693e+00,3.300000e-01,1.282602e+00,-6.998411e-01,1.477033e+00,-8.256118e-01
0,7.037002e+00,3.400000e-01,1.275493e+00,-7.220336e-01,1.468660e+00,-8.488691e-01
0,6.957468e+00,3.500000e-01,1.268161e+00,-7.444590e-01,1.460056e+00,-8.719672e-01
0,6.876158e+00,3.600000e-01,1.260604e+00,-7.670545e-01,1.451221e+00,-8.949055e-01
0,6.793157e+00,3.700000e-01,1.252820e+00,-7.897499e-01,1.442158e+00,-9.176835e-01
