t1,d1,v1,d2,v2,u,u_max
0,1.870993e+00,0,2.153736e+00,0
0,1.185225e+01,1.000000e-02,1.870822e+00,-3.421325e-02,2.153565e+00,-3.423934e-02
0,1.179797e+01,2.000000e-02,1.870309e+00,-6.828961e-02,2.153052e+00,-6.847060e-02
0,1.174175e+01,3.000000e-02,1.869457e+00,-1.021172e-01,2.152196e+00,-1.026936e-01
0,1.168377e+01,4.000000e-02,1.868268e+00,-1.355904e-01,2.150998e+00,-1.369077e-01
0,1.162420e+01,5.000000e-02,1.866747e+00,-1.686125e-01,2.149458e+00,-1.711120e-01
0,1.156323e+01,6.000000e-02,1.864898e+00,-2.010980e-01,2.147575e+00,-2.053050e-01
0,1.150101e+01,7.000000e-02,1.862727e+00,-2.329745e-01,2.145352e+00,-2.394846e-01
0,1.143771e+01,8.000000e-02,1.860240e+00,-2.641846e-01,2.142786e+00,-2.736478e-01
0,1.137344e+01,9.000000e-02,1.857445e+00,-2.946874e-01,2.139879e+00,-3.077911e-01
0,1.130832e+01,1.000000e-01,1.854349e+00,-3.244586e-01,2.136630e+00,-3.419098e-01
0,1.124242e+01,1.100000e-01,1.850959e+00,-3.534919e-01,2.133041e+00,-3.759987e-01
0,1.117581e+01,1.200000e-01,1.847282e+00,-3.817982e-01,2.129110e+00,-4.100515e-01
0,1.110851e+01,1.300000e-01,1.843325e+00,-4.094059e-01,2.124840e+00,-4.440612e-01
0,1.104053e+01,1.400000e-01,1.839096e+00,-4.363593e-01,2.120229e+00,-4.780199e-01
0,1.097184e+01,1.500000e-01,1.834600e+00,-4.627175e-01,2.115279e+00,-5.119192e-01
0,1.090238e+01,1.600000e-01,1.829843e+00,-4.885530e-01,2.109991e+00,-5.457498e-01
0,1.083209e+01,1.700000e-01,1.824830e+00,-5.139493e-01,2.104365e+00,-5.795020e-01
0,1.076085e+01,1.800000e-01,1.819565e+00,-5.389991e-01,2.098401e+00,-6.131657e-01
0,1.068856e+01,1.900000e-01,1.814051e+00,-5.638009e-01,2.092102e+00,-6.467305e-01
0,1.061507e+01,2.000000e-01,1.808290e+00,-5.884574e-01,2.085467e+00,-6.801857e-01
0,1.054024e+01,2.100000e-01,1.802282e+00,-6.130719e-01,2.078498e+00,-7.135208e-01
0,1.046392e+01,2.200000e-01,1.796028e+00,-6.377459e-01,2.071197e+00,-7.467253e-01
0,1.038595e+01,2.300000e-01,1.789527e+00,-6.625764e-01,2.063564e+00,-7.797888e-01
0,1.030616e+01,2.400000e-01,1.782776e+00,-6.876531e-01,2.055602e+00,-8.127016e-01
0,1.022441e+01,2.500000e-01,1.775772e+00,-7.130563e-01,2.047311e+00,-8.454542e-01
0,1.014056e+01,2.600000e-01,1.768513e+00,-7.388545e-01,2.038693e+00,-8.780379e-01
0,1.005447e+01,2.700000e-01,1.760994e+00,-7.651026e-01,2.029751e+00,-9.104446e-01
0,9.966032e+00,2.800000e-01,1.753210e+00,-7.918406e-01,2.020485e+00,-9.426669e-01
0,9.875155e+00,2.900000e-01,1.745155e+00,-8.190922e-01,2.010898e+00,-9.746983e-01
0,9.781769e+00,3.000000e-01,1.736826e+00,-8.468645e-01,2.000992e+00,-1.006533e+00
0,9.685831e+00,3.100000e-01,1.728216e+00,-8.751474e-01,1.990768e+00,-1.038167e+00
0,9.587324e+00,3.200000e-01,1.719321e+00,-9.039140e-01,1.980229e+00,-1.069595e+00
0,9.486257e+00,3.300000e-01,1.710137e+00,-9.331215e-01,1.969377e+00,-1.100816e+00
0,9.382669e+00,3.400000e-01,1.700658e+00,-9.627114e-01,1.958213e+00,-1.131825e+00
0,9.276624e+00,3.500000e-01,1.690881e+00,-9.926120e-01,1.946741e+00,-1.162623e+00
