t1,d1,v1,d2,v2,u,u_max
0,4.677482e-01,0,5.384341e-01,0,0,2.881937e+00
1.000000e-02,4.677055e-01,-8.553312e-03,5.383913e-01,-8.559836e-03,0,2.868511e+00
2.000000e-02,4.675773e-01,-1.707240e-02,5.382629e-01,-1.711765e-02,0,2.854611e+00
3.000000e-02,4.673642e-01,-2.552930e-02,5.380489e-01,-2.567339e-02,0,2.840284e+00
4.000000e-02,4.670670e-01,-3.389760e-02,5.377494e-01,-3.422692e-02,0,2.825575e+00
5.000000e-02,4.666866e-01,-4.215313e-02,5.373644e-01,-4.277800e-02,0,2.810528e+00
6.000000e-02,4.662244e-01,-5.027449e-02,5.368939e-01,-5.132625e-02,0,2.795182e+00
7.000000e-02,4.656817e-01,-5.824362e-02,5.363379e-01,-5.987115e-02,0,2.779574e+00
8.000000e-02,4.650601e-01,-6.604616e-02,5.356965e-01,-6.841195e-02,0,2.763737e+00
9.000000e-02,4.643613e-01,-7.367184e-02,5.349697e-01,-7.694776e-02,0,2.747697e+00
1.000000e-01,4.635872e-01,-8.111465e-02,5.341575e-01,-8.547745e-02,0,2.731474e+00
1.100000e-01,4.627396e-01,-8.837296e-02,5.332601e-01,-9.399967e-02,0,2.715082e+00
1.200000e-01,4.618204e-01,-9.544956e-02,5.322776e-01,-1.025129e-01,0,2.698529e+00
1.300000e-01,4.608312e-01,-1.023515e-01,5.312099e-01,-1.110153e-01,0,2.681813e+00
1.400000e-01,4.597739e-01,-1.090898e-01,5.300573e-01,-1.195050e-01,0,2.664929e+00
1.500000e-01,4.586499e-01,-1.156794e-01,5.288199e-01,-1.279798e-01,0,2.647863e+00
1.600000e-01,4.574608e-01,-1.221382e-01,5.274978e-01,-1.364374e-01,0,2.630597e+00
1.700000e-01,4.562075e-01,-1.284873e-01,5.260912e-01,-1.448755e-01,0,2.613105e+00
1.800000e-01,4.548913e-01,-1.347498e-01,5.246003e-01,-1.532914e-01,0,2.595358e+00
1.900000e-01,4.535128e-01,-1.409502e-01,5.230254e-01,-1.616826e-01,0,2.577323e+00
2.000000e-01,4.520724e-01,-1.471143e-01,5.213668e-01,-1.700464e-01,0,2.558963e+00
2.100000e-01,4.505705e-01,-1.532680e-01,5.196246e-01,-1.783802e-01,0,2.540239e+00
2.200000e-01,4.490070e-01,-1.594365e-01,5.177993e-01,-1.866813e-01,0,2.521114e+00
2.300000e-01,4.473816e-01,-1.656441e-01,5.158911e-01,-1.949472e-01,0,2.501547e+00
2.400000e-01,4.456939e-01,-1.719133e-01,5.139005e-01,-2.031754e-01,0,2.481501e+00
2.500000e-01,4.439431e-01,-1.782641e-01,5.118277e-01,-2.113636e-01,0,2.460940e+00
2.600000e-01,4.421283e-01,-1.847136e-01,5.096733e-01,-2.195095e-01,0,2.439834e+00
2.700000e-01,4.402485e-01,-1.912757e-01,5.074377e-01,-2.276111e-01,0,2.418153e+00
2.800000e-01,4.383024e-01,-1.979601e-01,5.051213e-01,-2.356667e-01,0,2.395876e+00
2.900000e-01,4.362888e-01,-2.047731e-01,5.027245e-01,-2.436746e-01,0,2.372986e+00
3.000000e-01,4.342065e-01,-2.117161e-01,5.002479e-01,-2.516333e-01,0,2.349472e+00
3.100000e-01,4.320541e-01,-2.187868e-01,4.976920e-01,-2.595417e-01,0,2.325329e+00
3.200000e-01,4.298303e-01,-2.259785e-01,4.950573e-01,-2.673989e-01,0,2.300561e+00
3.300000e-01,4.275341e-01,-2.332804e-01,4.923442e-01,-2.752039e-01,0,2.275177e+00
3.400000e-01,4.251644e-01,-2.406779e-01,4.895534e-01,-2.829564e-01,0,2.249192e+00
3.500000e-01,4.227203e-01,-2.481530e-01,4.866853e-01,-2.906557e-01,0,2.222630e+00
3.600000e-01,4.202012e-01,-2.556848e-01,4.837404e-01,-2.983018e-01,0,2.195518e+00
3.700000e-01,4.176065e-01,-2.632500e-01,4.807194e-01,-3.058945e-01,0,2.167890e+00
