t1,d1,v1,u,u_max
9.100000e-01,3.847407e-01,-1.077622e+00,0,-2.728300e-01
9.200000e-01,3.739401e-01,-1.082431e+00,0,-5.338751e-01
9.300000e-01,3.630934e-01,-1.086828e+00,0,-7.927212e-01
9.400000e-01,3.522048e-01,-1.090846e+00,0,-1.049528e+00
9.500000e-01,3.412777e-01,-1.094520e+00,0,-1.304503e+00
9.600000e-01,3.303154e-01,-1.097893e+00,0,-1.557892e+00
9.700000e-01,3.193207e-01,-1.101007e+00,0,-1.809977e+00
9.800000e-01,3.082959e-01,-1.103909e+00,0,-2.061062e+00
9.900000e-01,2.972430e-01,-1.106647e+00,0,-2.311467e+00
1,2.861634e-01,-1.109266e+00,0,-2.561520e+00
1.010000e+00,2.750580e-01,-1.111811e+00,0,-2.811543e+00
1.020000e+00,2.639273e-01,-1.114325e+00,0,-3.061848e+00
1.030000e+00,2.527714e-01,-1.116845e+00,0,-3.312722e+00
1.040000e+00,2.415902e-01,-1.119404e+00,0,-3.564427e+00
1.050000e+00,2.303831e-01,-1.122031e+00,0,-3.817182e+00
1.060000e+00,2.191493e-01,-1.124745e+00,0,-4.071165e+00
1.070000e+00,2.078879e-01,-1.127562e+00,0,-4.326503e+00
1.080000e+00,1.965977e-01,-1.130487e+00,0,-4.583270e+00
1.090000e+00,1.852778e-01,-1.133519e+00,0,-4.841482e+00
1.100000e+00,1.739270e-01,-1.136652e+00,0,-5.101097e+00
1.110000e+00,1.625445e-01,-1.139869e+00,0,-5.362017e+00
1.120000e+00,1.511294e-01,-1.143147e+00,0,-5.624086e+00
1.130000e+00,1.396814e-01,-1.146459e+00,0,-5.887095e+00
1.140000e+00,1.282003e-01,-1.149771e+00,0,-6.150789e+00
1.150000e+00,1.166861e-01,-1.153043e+00,0,-6.414866e+00
1.160000e+00,1.051397e-01,-1.156234e+00,0,-6.678992e+00
1.170000e+00,9.356188e-02,-1.159299e+00,0,-6.942803e+00
1.180000e+00,8.195427e-02,-1.162192e+00,0,-7.205915e+00
1.190000e+00,7.031877e-02,-1.164867e+00,0,-7.467932e+00
1.200000e+00,5.865781e-02,-1.167278e+00,0,-7.728459e+00
1.210000e+00,4.697423e-02,-1.169383e+00,0,-7.987106e+00
1.220000e+00,3.527131e-02,-1.171141e+00,0,-8.243500e+00
1.230000e+00,2.355268e-02,-1.172518e+00,0,-8.497293e+00
1.240000e+00,1.182233e-02,-1.173482e+00,0,-8.748171e+00
1.250000e+00,8.449784e-05,-1.174010e+00,0,-8.995856e+00
1.260000e+00,-1.165635e-02,-1.174083e+00,-5.000000e-02,-9.240121e+00
1.270000e+00,-2.337109e-02,-1.168790e+00,-5.000000e-02,-9.442717e+00
1.280000e+00,-3.503064e-02,-1.163047e+00,-5.000000e-02,-9.640722e+00
1.290000e+00,-4.663060e-02,-1.156874e+00,-5.000000e-02,-9.834196e+00
1.300000e+00,-5.816678e-02,-1.150298e+00,-5.000000e-02,-1.002325e+01
1.310000e+00,-6.963531e-02,-1.143349e+00,-5.000000e-02,-1.020805e+01
1.320000e+00,-8.103264e-02,-1.136064e+00,-5.000000e-02,-1.038879e+01
1.330000e+00,-9.235561e-02,-1.128484e+00,-5.000000e-02,-1.056573e+01
1.340000e+00,-1.036015e-01,-1.120651e+00,-5.000000e-02,-1.073913e+01
1.350000e+00,-1.147679e-01,-1.112611e+00,-5.000000e-02,-1.090929e+01
1.360000e+00,-1.258532e-01,-1.104410e+00,-5.000000e-02,-1.107653e+01
1.370000e+00,-1.368558e-01,-1.096092e+00,-5.000000e-02,-1.124116e+01
1.380000e+00,-1.477748e-01,-1.087701e+00,-5.000000e-02,-1.140350e+01
1.390000e+00,-1.586097e-01,-1.079278e+00,-5.000000e-02,-1.156385e+01
1.400000e+00,-1.693603e-01,-1.070860e+00,-5.000000e-02,-1.172249e+01
